date,code,name,mkt,close,atr,atrpct,vol_ratio,ret1,ret3,clsloc,rngr,streak,excess,badge_sigma,fret,fup
2026-08-11,005930,삼성전자,KOSPI,239500,22986,9.6,0.759,0.413,0.392,0.774,0.674,1,3.4,0.35,0.696,1
2026-08-11,000660,SK하이닉스,KOSPI,1425000,180357,12.66,0.598,0.028,-0.388,0.634,0.455,1,-0.38,-0.03,0.438,1
2026-08-11,009150,삼성전기,KOSPI,1262000,161071,12.76,0.768,-0.075,0.205,0.67,0.658,-2,-1.67,-0.13,0.453,1
2026-08-11,348210,넥스틴,KOSDAQ,35650,3196,8.97,0.818,0.422,1.189,0.717,0.939,2,3.55,0.4,0.391,1
2026-08-11,018260,삼성에스디에스,KOSPI,237000,16443,6.94,1.268,0.882,0.274,0.804,1.399,2,5.79,0.83,-0.091,0
2026-08-11,093320,케이아이엔엑스,KOSDAQ,163000,12171,7.47,2.497,1.126,1.972,0.978,1.487,2,8.79,1.18,-0.937,0
2026-08-11,105560,KB금융,KOSPI,166600,7900,4.74,0.822,-0.646,-0.62,0.09,0.848,-2,-3.7,-0.78,-0.076,0
2026-08-11,086520,에코프로,KOSDAQ,90300,7779,8.61,1.094,-0.411,0.861,0.232,0.72,-1,-3.81,-0.44,0.129,1
2026-08-11,010140,삼성중공업,KOSPI,21800,1374,6.3,0.807,-0.546,-0.218,0.059,0.619,-1,-4.06,-0.64,-0.036,0
2026-08-11,298040,효성중공업,KOSPI,2831000,277143,9.79,0.58,-0.372,0.444,0.591,0.494,-1,-4.24,-0.43,0.22,1
2026-08-11,352820,하이브,KOSPI,180300,14343,7.95,0.769,-0.251,-0.028,0.222,0.251,-2,-2.69,-0.34,-0.056,0
2026-08-11,012330,현대모비스,KOSPI,495500,33214,6.7,0.474,-0.286,-0.376,0.194,0.467,-1,-2.61,-0.39,0.09,1
2026-08-11,017670,SK텔레콤,KOSPI,86000,7943,9.24,0.619,0.126,-0.642,0.8,0.378,1,0.45,0.05,0.227,1
2026-08-11,214150,클래시스,KOSDAQ,46350,3000,6.47,1.043,0.017,0.267,0.548,0.7,4,-0.28,-0.04,-0.85,0
2026-08-11,278470,에이피알,KOSPI,385500,25571,6.63,0.969,-0.059,0.293,0.426,0.919,-1,-1.12,-0.17,0.45,1
2026-08-11,237690,에스티팜,KOSDAQ,108000,8850,8.19,0.625,0.0,0.757,0.344,0.689,-1,-0.39,-0.05,-0.113,0
2026-08-11,200670,휴메딕스,KOSDAQ,28100,1614,5.74,0.567,0.217,0.403,0.526,0.588,2,0.87,0.15,-0.124,0
