mcap_rank,code,name,market,market_cap,close,volume,value_krw
1,005930,삼성전자보통주,,1710268266552734,281500,27746471,7810631586500
2,000660,에스케이하이닉스보통주,,1232511524169922,1730000,4274294,7394528620000
3,402340,SK스퀘어보통주,,147833998352051,1123000,602332,676418836000
4,009150,삼성전기보통주,,102871505895495,1316000,702691,924741356000
5,005380,현대자동차보통주,,95780117595649,415000,373056,154818240000
6,373220,LG에너지솔루션보통주,,83772000000000,343500,248966,85519821000
7,207940,삼성바이오로직스보통주,,72861956520081,1551000,44704,69335904000
8,012450,한화에어로스페이스보통주,,60040735233307,1085000,193892,210372820000
9,028260,삼성물산보통주,,58070607491493,395500,585501,231565645500
10,105560,KB금융지주 보통주,,53980415039062,164300,1165965,191568049500
11,032830,삼성생명보험보통주,,53333710647583,328500,1038229,341058226500
12,000270,기아보통주,,50153127575684,130900,667262,87344595800
13,329180,에이치디현대중공업보통주,,49909063636780,453000,252822,114528366000
14,034020,두산에너빌리티보통주,,48611309436035,73300,2467372,180858367600
15,055550,신한금융지주회사보통주,,46294318789673,104100,1345887,140106836700
16,012330,현대모비스보통주,,44543248718262,496000,219886,109063456000
17,068270,셀트리온보통주,,42972648898315,192300,354956,68258038800
18,006400,삼성SDI보통주,,38892177948594,478000,286477,136936006000
19,066570,LG전자보통주,,34180994364929,194500,858709,167018900500
20,035420,NAVER보통주,,32839344894409,222000,987136,219144192000
21,086790,하나금융지주보통주,,32260694580078,128800,758877,97743357600
22,034730,SK보통주,,30968497802734,586000,189218,110881748000
23,010120,LS ELECTRIC보통주,,29619537854004,187000,916678,171418786000
24,042660,한화오션보통주,,27116150985718,84200,895191,75375082200
25,267260,에이치디현대일렉트릭보통주,,26850556053162,718000,137350,98617300000
26,298040,효성중공업보통주,,26603643680573,2721000,33226,90407946000
27,009540,에이치디한국조선해양보통주,,25492624160767,348500,152716,53221526000
28,010130,고려아연보통주,,25246821643829,1237000,44908,55551196000
29,000810,삼성화재해상보험보통주,,24089005652308,661000,116996,77334356000
30,005490,포스코홀딩스보통주,,23768286605835,310000,235539,73017090000
31,196170,알테오젠,,23642285068512,320000,491494,157278080000
32,316140,우리금융지주보통주,,22969528436279,31750,1841277,58460544750
33,042700,한미반도체보통주,,21389350784302,213500,515436,110045586000
34,096770,SK이노베이션 보통주,,20972534758377,124800,424592,52989081600
35,015760,한국전력공사보통주,,20414456799316,31750,833434,26461529500
36,017670,SK텔레콤보통주,,20390189620972,102200,2006782,205093120400
37,011200,에이치엠엠보통주,,19996645092773,21600,1413376,30528921600
38,051910,LG화학보통주,,19566761486197,252500,141218,35657545000
